title,info,rating,url
Одна жизнь,"One Life, 2023, 1 ч 49 мин",7.6,https://www.kinopoisk.ru/film/5105855/
Отступники,"The Departed, 2006, 2 ч 31 мин",7.6,https://www.kinopoisk.ru/film/81314/
Семь,"Se7en, 1995, 2 ч 7 мин",7.6,https://www.kinopoisk.ru/film/377/
Укрощение строптивого,"Il bisbetico domato, 1980, 1 ч 47 мин",7.6,https://www.kinopoisk.ru/film/63912/
Пираты Карибского моря: Проклятие Черной жемчужины,"Pirates of the Caribbean: The Curse of the Black Pearl, 2003, 2 ч 23 мин",7.6,https://www.kinopoisk.ru/film/4374/
Гордость и предубеждение,"Pride & Prejudice, 2005, 2 ч 9 мин",7.6,https://www.kinopoisk.ru/film/81733/
Достать ножи,"Knives Out, 2019, 2 ч 10 мин",7.5,https://www.kinopoisk.ru/film/1188529/
Дело храбрых,"Only the Brave, 2017, 2 ч 14 мин",7.5,https://www.kinopoisk.ru/film/965754/
Бесславные ублюдки,"Inglourious Basterds, 2009, 2 ч 33 мин",7.5,https://www.kinopoisk.ru/film/9691/
Апокалипсис,"Apocalypto, 2006, 2 ч 19 мин",7.5,https://www.kinopoisk.ru/film/160977/
Один дома,"Home Alone, 1990, 1 ч 43 мин",7.5,https://www.kinopoisk.ru/film/8124/
Законопослушный гражданин,"Law Abiding Citizen, 2009, 1 ч 48 мин",7.5,https://www.kinopoisk.ru/film/406408/
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,"1981, 2 ч 34 мин",7.5,https://www.kinopoisk.ru/film/77263/
Приключения Паддингтона 2,"Paddington 2, 2017, 1 ч 43 мин",7.5,https://www.kinopoisk.ru/film/906042/
Шерлок Холмс и доктор Ватсон: Знакомство,"1979, 1 ч 8 мин",7.5,https://www.kinopoisk.ru/film/77269/
Лев,"Lion, 2016, 1 ч 58 мин",7.5,https://www.kinopoisk.ru/film/864138/
Иди и смотри,"1985, 2 ч 16 мин",7.5,https://www.kinopoisk.ru/film/42571/
Омерзительная восьмерка,"The Hateful Eight, 2015, 2 ч 48 мин",7.5,https://www.kinopoisk.ru/film/819101/
Счастливое число Слевина,"Lucky Number Slevin, 2005, 1 ч 50 мин",7.5,https://www.kinopoisk.ru/film/86326/
